done,pid,name,titles,affiliations,site_roles,link,has_local_image,original_image
FALSE,martin,Nicholas Martin,Curator for the Arts & Humanities,Special Collections,proj_pi,https://library.nyu.edu/people/nicholas-martin/,,https://s3.amazonaws.com/nyulibraries-www-assets/people-images/nicholas-martin.jpg
FALSE,mccormick,Jared McCormick,,,,,,
FALSE,,Rosanna Flouty,,,,,,
FALSE,,Sebastian Heath,,,,,,
FALSE,,David Hoover,,,,,,
FALSE,,Marina Hassapopoulou,,,,,,
FALSE,,Elaine Gan,,,,,,
FALSE,,David Wrisley,,,,,,
FALSE,,Beth Russell,,NYU Abu Dhabi,,,,
FALSE,,Craig Kapp,,,,,,
FALSE,,Meredith Broussard,,,,,,
